"id","order","operation","machine","initial_start_time","initial_end_time","total_quantity","remaining_quantity","status","current_version","created_at"
1,1,1,1,"2025-01-21 11:41:20.417587","2025-01-21 12:11:20.417587",1,0,"scheduled",1,"2025-02-11 10:10:15.440889"
2,1,1,1,"2025-01-21 12:11:20.417587","2025-01-21 14:41:20.417587",10,0,"scheduled",1,"2025-02-11 10:10:15.455054"
3,1,2,2,"2025-01-21 14:41:20.417587","2025-01-21 16:41:20.417587",1,0,"scheduled",1,"2025-02-11 10:10:15.457308"
4,1,2,2,"2025-01-21 16:41:20.417587","2025-01-21 17:00:00",10,8,"scheduled",1,"2025-02-11 10:10:15.457308"
5,1,2,2,"2025-01-22 09:00:00","2025-01-22 10:11:20.417587",10,0,"scheduled",1,"2025-02-11 10:10:15.474784"
6,1,3,3,"2025-01-22 10:11:20.417587","2025-01-22 12:11:20.417587",1,0,"scheduled",1,"2025-02-11 10:10:15.474784"
7,1,3,3,"2025-01-22 12:11:20.417587","2025-01-22 14:41:20.417587",10,0,"scheduled",1,"2025-02-11 10:10:15.493537"
8,1,4,3,"2025-01-22 14:41:20.417587","2025-01-22 17:00:00",1,0,"scheduled",1,"2025-02-11 10:10:15.493537"
9,1,4,3,"2025-01-23 09:00:00","2025-01-23 13:41:20.417587",1,0,"scheduled",1,"2025-02-11 10:10:15.509295"
10,1,4,3,"2025-01-23 13:41:20.417587","2025-01-23 17:00:00",10,10,"scheduled",1,"2025-02-11 10:10:15.510692"
11,1,4,3,"2025-01-24 09:00:00","2025-01-24 17:00:00",10,9,"scheduled",1,"2025-02-11 10:10:15.526127"
12,1,4,3,"2025-01-25 09:00:00","2025-01-25 17:00:00",10,7,"scheduled",1,"2025-02-11 10:10:15.526964"
13,1,4,3,"2025-01-26 09:00:00","2025-01-26 17:00:00",10,5,"scheduled",1,"2025-02-11 10:10:15.540741"
14,1,4,3,"2025-01-27 09:00:00","2025-01-27 17:00:00",10,3,"scheduled",1,"2025-02-11 10:10:15.543282"
15,1,4,3,"2025-01-28 09:00:00","2025-01-28 17:00:00",10,1,"scheduled",1,"2025-02-11 10:10:15.543282"
16,1,4,3,"2025-01-29 09:00:00","2025-01-29 10:41:20.417587",10,0,"scheduled",1,"2025-02-11 10:10:15.557442"
17,1,5,3,"2025-01-29 10:41:20.417587","2025-01-29 15:41:20.417587",1,0,"scheduled",1,"2025-02-11 10:10:15.55943"
18,1,5,3,"2025-01-29 15:41:20.417587","2025-01-29 17:00:00",10,9,"scheduled",1,"2025-02-11 10:10:15.574042"
19,1,5,3,"2025-01-30 09:00:00","2025-01-30 17:00:00",10,3,"scheduled",1,"2025-02-11 10:10:15.574042"
20,1,5,3,"2025-01-31 09:00:00","2025-01-31 11:41:20.417587",10,0,"scheduled",1,"2025-02-11 10:10:15.574042"
21,1,6,4,"2025-01-31 11:41:20.417587","2025-01-31 16:41:20.417587",1,0,"scheduled",1,"2025-02-11 10:10:15.58869"
22,1,6,4,"2025-01-31 16:41:20.417587","2025-01-31 17:00:00",10,10,"scheduled",1,"2025-02-11 10:10:15.590796"
23,1,6,4,"2025-02-01 09:00:00","2025-02-01 17:00:00",10,8,"scheduled",1,"2025-02-11 10:10:15.590796"
24,1,6,4,"2025-02-02 09:00:00","2025-02-02 17:00:00",10,6,"scheduled",1,"2025-02-11 10:10:15.590796"
25,1,6,4,"2025-02-03 09:00:00","2025-02-03 17:00:00",10,3,"scheduled",1,"2025-02-11 10:10:15.607106"
26,1,6,4,"2025-02-04 09:00:00","2025-02-04 16:41:20.417587",10,0,"scheduled",1,"2025-02-11 10:10:15.607106"
27,1,7,5,"2025-02-04 16:41:20.417587","2025-02-04 16:41:20.417587",1,0,"scheduled",1,"2025-02-11 10:10:15.607106"
28,1,7,5,"2025-02-04 16:41:20.417587","2025-02-04 16:41:20.417587",10,0,"scheduled",1,"2025-02-11 10:10:15.621778"
29,1,8,6,"2025-02-04 16:41:20.417587","2025-02-04 17:00:00",1,0,"scheduled",1,"2025-02-11 10:10:15.624271"
30,1,8,6,"2025-02-05 09:00:00","2025-02-05 09:41:20.417587",1,0,"scheduled",1,"2025-02-11 10:10:15.624271"
31,1,8,6,"2025-02-05 09:41:20.417587","2025-02-05 14:41:20.417587",10,0,"scheduled",1,"2025-02-11 10:10:15.624271"
32,1,9,6,"2025-02-05 14:41:20.417587","2025-02-05 15:41:20.417587",1,0,"scheduled",1,"2025-02-11 10:10:15.642653"
33,1,9,6,"2025-02-05 15:41:20.417587","2025-02-05 17:00:00",10,8,"scheduled",1,"2025-02-11 10:10:15.644161"
34,1,9,6,"2025-02-06 09:00:00","2025-02-06 12:41:20.417587",10,0,"scheduled",1,"2025-02-11 10:10:15.644161"
